side_length,board_size,matchup,player_policy,enemy_policy,winner,win_reason,natural_winner,natural_win_reason,timeout_margin,timeout_controlled_diff,final_round,threshold_60,player_first_rounds,enemy_first_rounds,p_controlled,e_controlled,p_non_core,e_non_core,neutral_fields,build,raid,raid_takeovers,raid_absorbed_by_shield,fortify,rebuild,field_upgrade,core_upgrade,wait,p_build,p_raid,p_fortify,p_rebuild,p_wait,e_build,e_raid,e_fortify,e_rebuild,e_wait,p_holz_waste,p_stein_waste,p_korn_waste,e_holz_waste,e_stein_waste,e_korn_waste,p_holz,p_stein,p_korn,e_holz,e_stein,e_korn,final_shielded_fields,final_shield_points,final_max_shield
5,61,utility_rusher_vs_rusher,utility_rusher,rusher,player,territory,player,territory,5,0,39,37,20,19,37,9,36,8,15,42,85,83,2,29,4,6,1,64,26,46,29,4,5,16,39,0,0,59,63,104,266,0,0,117,8,12,8,1,3,6,14,27,3
5,61,utility_rusher_vs_utility_balancer,utility_rusher,utility_balancer,player,territory,player,territory,5,0,31,37,16,15,37,17,36,16,7,50,90,80,10,19,1,7,2,13,17,55,10,1,5,33,35,9,0,8,212,35,91,15,25,57,12,12,8,12,12,11,7,9,2
5,61,utility_rusher_vs_utility_rusher,utility_rusher,utility_rusher,player,full_board_majority,player,full_board_majority,5,0,43,37,22,21,31,30,30,29,0,57,131,125,6,24,0,7,2,35,28,68,8,0,21,29,63,16,0,14,134,111,187,141,39,222,7,12,4,0,4,12,11,18,3
5,61,utility_rusher_vs_utility_economist,utility_rusher,utility_economist,player,territory,player,territory,5,0,31,37,16,15,37,17,36,16,7,50,90,80,10,19,1,7,2,13,17,55,10,1,5,33,35,9,0,8,212,35,91,15,25,57,12,12,8,12,12,11,7,9,2
5,61,utility_rusher_vs_utility_fortifier,utility_rusher,utility_fortifier,player,full_board_majority,player,full_board_majority,5,0,68,37,34,34,33,28,32,27,0,57,299,285,14,33,0,7,2,10,24,158,12,0,5,33,141,21,0,5,473,180,440,222,104,294,0,12,8,12,12,6,13,19,3
5,61,utility_rusher_vs_utility_aggro_turtle,utility_rusher,utility_aggro_turtle,player,full_board_majority,player,full_board_majority,5,0,48,37,24,24,34,27,33,26,0,57,158,136,22,52,1,7,2,11,26,87,21,1,5,31,71,31,0,6,226,97,270,74,34,266,0,12,7,6,12,4,14,30,3
5,61,utility_rusher_vs_utility_opportunist,utility_rusher,utility_opportunist,player,full_board_majority,player,full_board_majority,5,0,75,37,38,37,33,28,32,27,0,57,332,313,19,37,1,6,2,15,24,178,9,0,10,33,154,28,1,5,482,230,527,328,31,374,12,12,8,0,12,8,12,18,3
5,61,utility_economist_vs_phase_player,utility_economist,phase_player,enemy,territory,enemy,territory,5,0,62,37,31,31,22,37,21,36,2,55,180,146,34,79,2,24,2,27,26,93,43,1,7,29,87,36,1,20,308,127,328,191,68,547,12,12,12,8,0,7,24,42,3
5,61,utility_economist_vs_rusher,utility_economist,rusher,enemy,full_board_majority,enemy,full_board_majority,5,0,60,37,30,30,28,33,27,32,0,57,216,189,27,36,0,5,2,39,45,85,36,0,5,12,131,0,0,34,61,146,237,276,20,519,12,12,12,0,8,12,4,6,2
5,61,utility_economist_vs_utility_balancer,utility_economist,utility_balancer,player,full_board_majority,player,full_board_majority,5,0,40,37,20,20,31,30,30,29,0,57,45,37,8,115,3,6,2,10,30,24,53,2,5,27,21,62,1,5,76,29,239,130,28,168,0,12,12,8,12,3,41,107,3
5,61,utility_economist_vs_utility_rusher,utility_economist,utility_rusher,enemy,territory,enemy,territory,5,0,64,37,32,32,22,37,21,36,2,55,245,231,14,54,0,12,2,11,31,114,28,0,6,24,131,26,0,5,387,81,148,514,250,284,12,10,12,12,12,10,22,39,3
5,61,utility_economist_vs_utility_economist,utility_economist,utility_economist,enemy,full_board_majority,enemy,full_board_majority,5,0,38,37,19,19,28,33,27,32,0,57,55,49,6,94,1,7,2,10,29,26,47,1,5,28,29,47,0,5,61,26,209,101,102,137,0,12,12,0,12,9,37,88,3
5,61,utility_economist_vs_utility_fortifier,utility_economist,utility_fortifier,player,full_board_majority,player,full_board_majority,5,0,43,37,22,21,32,29,31,28,0,57,60,46,14,114,1,9,2,10,30,28,57,1,5,27,32,57,0,5,107,102,215,125,123,208,0,12,12,12,12,12,39,100,3
5,61,utility_economist_vs_utility_aggro_turtle,utility_economist,utility_aggro_turtle,enemy,full_board_majority,enemy,full_board_majority,5,0,42,37,21,21,29,32,28,31,0,57,37,30,7,134,3,6,2,11,31,19,61,3,6,26,18,73,0,5,73,40,256,142,68,136,0,12,12,10,12,0,46,127,3
5,61,utility_economist_vs_utility_opportunist,utility_economist,utility_opportunist,enemy,full_board_majority,enemy,full_board_majority,5,0,42,37,21,21,29,32,28,31,0,57,65,55,10,105,1,7,2,12,30,30,50,1,7,27,35,55,0,5,64,87,271,210,122,57,12,12,12,0,12,10,39,95,3
5,61,utility_fortifier_vs_phase_player,utility_fortifier,phase_player,enemy,full_board_majority,enemy,full_board_majority,5,0,58,37,29,29,29,32,28,31,0,57,194,157,37,65,0,7,2,22,44,82,31,0,13,13,112,34,0,9,137,33,158,201,361,407,0,12,9,5,12,6,23,24,2
5,61,utility_fortifier_vs_rusher,utility_fortifier,rusher,enemy,full_board_majority,enemy,full_board_majority,5,0,50,37,25,25,27,34,26,33,0,57,166,138,28,38,0,5,2,27,37,63,38,0,5,20,103,0,0,22,42,34,179,23,9,470,12,12,12,0,12,12,3,4,2
5,61,utility_fortifier_vs_utility_balancer,utility_fortifier,utility_balancer,player,territory,player,territory,5,0,41,37,21,20,37,20,36,19,4,53,36,26,10,99,8,8,2,37,23,25,58,6,5,30,11,41,2,32,126,78,230,30,30,306,0,12,6,6,12,12,32,88,3
5,61,utility_fortifier_vs_utility_rusher,utility_fortifier,utility_rusher,enemy,full_board_majority,enemy,full_board_majority,5,0,38,37,19,19,27,34,26,33,0,57,113,101,12,31,2,6,2,16,32,50,16,0,11,25,63,15,2,5,84,70,137,216,84,129,0,12,9,12,12,6,14,19,3
5,61,utility_fortifier_vs_utility_economist,utility_fortifier,utility_economist,enemy,full_board_majority,enemy,full_board_majority,5,0,40,37,20,20,28,33,27,32,0,57,56,49,7,103,0,7,2,10,27,28,53,0,5,30,28,50,0,5,80,130,152,84,62,228,9,12,12,0,12,12,39,96,3
5,61,utility_fortifier_vs_utility_fortifier,utility_fortifier,utility_fortifier,enemy,full_board_majority,enemy,full_board_majority,5,0,60,37,30,30,27,34,26,33,0,57,87,45,42,130,30,21,2,28,20,48,65,20,11,37,39,65,10,17,331,179,241,88,169,563,12,12,12,0,12,12,34,84,3
5,61,utility_fortifier_vs_utility_aggro_turtle,utility_fortifier,utility_aggro_turtle,player,full_board_majority,player,full_board_majority,5,0,42,37,21,21,31,30,30,29,0,57,24,18,6,143,2,8,2,14,29,10,74,1,5,28,14,69,1,9,63,75,220,101,88,159,0,1,12,9,7,0,50,137,3
5,61,utility_fortifier_vs_utility_opportunist,utility_fortifier,utility_opportunist,enemy,full_board_majority,enemy,full_board_majority,5,0,46,37,23,23,28,33,27,32,0,57,51,38,13,144,1,6,2,12,28,24,71,1,7,29,27,73,0,5,155,99,162,135,110,228,12,12,12,0,12,9,46,130,3
5,61,utility_aggro_turtle_vs_phase_player,utility_aggro_turtle,phase_player,enemy,territory,enemy,territory,5,0,50,37,25,25,19,37,18,36,5,52,126,97,29,68,2,22,2,25,24,64,37,0,9,28,62,31,2,16,215,127,97,128,33,474,12,12,12,9,8,5,23,37,3
5,61,utility_aggro_turtle_vs_rusher,utility_aggro_turtle,rusher,enemy,territory,enemy,territory,5,0,52,37,26,26,22,37,21,36,2,55,188,162,26,33,0,4,2,27,36,73,33,0,6,19,115,0,0,21,68,59,143,23,61,447,12,12,12,10,12,8,1,3,3
5,61,utility_aggro_turtle_vs_utility_balancer,utility_aggro_turtle,utility_balancer,enemy,territory,enemy,territory,5,0,42,37,21,21,23,37,22,36,1,56,44,12,32,88,23,12,2,22,21,28,36,13,17,35,16,52,10,5,150,66,235,61,43,257,12,12,12,9,12,11,30,52,3
5,61,utility_aggro_turtle_vs_utility_rusher,utility_aggro_turtle,utility_rusher,enemy,full_board_majority,enemy,full_board_majority,5,0,41,37,21,20,27,34,26,33,0,57,132,120,12,32,2,6,2,15,31,59,19,0,10,26,73,13,2,5,91,59,171,243,98,133,8,12,7,0,12,7,14,20,2
5,61,utility_aggro_turtle_vs_utility_economist,utility_aggro_turtle,utility_economist,enemy,full_board_majority,enemy,full_board_majority,5,0,44,37,22,22,30,31,29,30,0,57,48,40,8,135,0,7,2,10,26,23,71,0,5,31,25,64,0,5,126,122,174,87,92,244,12,12,12,0,12,12,49,127,3
5,61,utility_aggro_turtle_vs_utility_fortifier,utility_aggro_turtle,utility_fortifier,enemy,full_board_majority,enemy,full_board_majority,5,0,42,37,21,21,30,31,29,30,0,57,28,17,11,127,10,13,2,13,27,16,59,9,5,30,12,68,1,8,98,80,180,50,62,289,0,9,12,8,0,8,45,116,3
5,61,utility_aggro_turtle_vs_utility_aggro_turtle,utility_aggro_turtle,utility_aggro_turtle,enemy,full_board_majority,enemy,full_board_majority,5,0,47,37,24,23,25,36,24,35,0,57,49,18,31,109,25,12,2,26,21,31,47,14,21,36,18,62,11,5,142,52,367,61,85,282,12,11,6,0,12,12,37,71,3
5,61,utility_aggro_turtle_vs_utility_opportunist,utility_aggro_turtle,utility_opportunist,enemy,full_board_majority,enemy,full_board_majority,5,0,49,37,25,24,30,31,29,30,0,57,62,51,11,153,0,6,2,12,27,33,76,0,7,30,29,77,0,5,205,104,157,167,121,234,12,12,2,0,12,12,50,141,3
5,61,utility_opportunist_vs_phase_player,utility_opportunist,phase_player,enemy,full_board_majority,enemy,full_board_majority,5,0,50,37,25,25,30,31,29,30,0,57,133,89,44,74,0,13,2,20,35,61,38,0,10,22,72,36,0,10,110,79,204,100,125,436,0,12,9,10,12,7,22,25,3
5,61,utility_opportunist_vs_rusher,utility_opportunist,rusher,player,full_board_majority,player,full_board_majority,5,0,89,37,45,44,31,30,30,29,0,57,283,179,104,131,3,5,2,49,36,86,131,3,5,21,197,0,0,44,254,62,394,6,43,739,0,12,11,2,6,12,10,14,3
5,61,utility_opportunist_vs_utility_balancer,utility_opportunist,utility_balancer,player,full_board_majority,player,full_board_majority,5,0,46,37,23,23,31,30,30,29,0,57,46,33,13,150,4,6,2,10,28,20,79,1,5,29,26,71,3,5,156,88,195,74,90,246,0,12,9,0,12,6,47,137,3
5,61,utility_opportunist_vs_utility_rusher,utility_opportunist,utility_rusher,enemy,full_board_majority,enemy,full_board_majority,5,0,81,37,41,40,27,34,26,33,0,57,375,362,13,30,0,7,2,15,29,182,21,0,7,28,193,9,0,8,396,78,211,492,225,558,10,12,6,0,12,8,9,17,3
5,61,utility_opportunist_vs_utility_economist,utility_opportunist,utility_economist,player,full_board_majority,player,full_board_majority,5,0,41,37,21,20,32,29,31,28,0,57,56,45,11,111,1,7,2,10,29,27,57,1,5,28,29,54,0,5,123,72,145,87,114,202,11,12,2,0,12,12,40,100,3
5,61,utility_opportunist_vs_utility_fortifier,utility_opportunist,utility_fortifier,player,full_board_majority,player,full_board_majority,5,0,49,37,25,24,34,27,33,26,0,57,74,54,20,138,0,7,2,11,26,38,72,0,5,31,36,66,0,6,200,77,190,164,144,275,0,12,12,12,12,12,43,118,3
5,61,utility_opportunist_vs_utility_aggro_turtle,utility_opportunist,utility_aggro_turtle,player,full_board_majority,player,full_board_majority,5,0,49,37,25,24,31,30,30,29,0,57,52,40,12,155,4,6,2,14,31,22,78,2,9,26,30,77,2,5,165,95,253,116,62,272,0,12,10,12,12,12,49,143,3
5,61,utility_opportunist_vs_utility_opportunist,utility_opportunist,utility_opportunist,player,full_board_majority,player,full_board_majority,5,0,43,37,22,21,31,30,30,29,0,57,52,45,7,125,1,6,2,13,26,29,62,0,8,31,23,63,1,5,69,64,244,166,71,110,6,12,4,0,12,12,46,118,3
